id	title	year	pubs	level
2	Frontiers in Digital Humanities	2014	1	1
2	Frontiers in Digital Humanities	2015	6	1
2	Frontiers in Digital Humanities	2016	9	1
2	Frontiers in Digital Humanities	2017	22	1
2	Frontiers in Digital Humanities	2018	23	1
3	Digital Scholarship in the Humanities (DSH)	2014	1	1
3	Digital Scholarship in the Humanities (DSH)	2015	69	1
3	Digital Scholarship in the Humanities (DSH)	2016	97	1
3	Digital Scholarship in the Humanities (DSH)	2017	27	1
3	Digital Scholarship in the Humanities (DSH)	2018	52	1
4	Digital Humanities Quarterly (DHQ)	2007	16	1
4	Digital Humanities Quarterly (DHQ)	2008	5	1
4	Digital Humanities Quarterly (DHQ)	2009	57	1
4	Digital Humanities Quarterly (DHQ)	2010	9	1
4	Digital Humanities Quarterly (DHQ)	2011	13	1
4	Digital Humanities Quarterly (DHQ)	2012	31	1
4	Digital Humanities Quarterly (DHQ)	2013	27	1
4	Digital Humanities Quarterly (DHQ)	2014	28	1
4	Digital Humanities Quarterly (DHQ)	2015	27	1
4	Digital Humanities Quarterly (DHQ)	2016	48	1
4	Digital Humanities Quarterly (DHQ)	2017	58	1
4	Digital Humanities Quarterly (DHQ)	2018	51	1
12	Journal of Data Mining and Digital Humanities	2011	1	1
12	Journal of Data Mining and Digital Humanities	2014	7	1
12	Journal of Data Mining and Digital Humanities	2015	2	1
12	Journal of Data Mining and Digital Humanities	2016	3	1
12	Journal of Data Mining and Digital Humanities	2017	14	1
12	Journal of Data Mining and Digital Humanities	2018	13	1
15	Literary and Linguistics Computing	2000	27	1
15	Literary and Linguistics Computing	2001	28	1
15	Literary and Linguistics Computing	2002	31	1
15	Literary and Linguistics Computing	2003	37	1
15	Literary and Linguistics Computing	2004	43	1
15	Literary and Linguistics Computing	2005	48	1
15	Literary and Linguistics Computing	2006	61	1
15	Literary and Linguistics Computing	2007	51	1
15	Literary and Linguistics Computing	2008	19	1
15	Literary and Linguistics Computing	2009	39	1
15	Literary and Linguistics Computing	2010	32	1
15	Literary and Linguistics Computing	2011	41	1
15	Literary and Linguistics Computing	2012	44	1
15	Literary and Linguistics Computing	2013	52	1
15	Literary and Linguistics Computing	2014	47	1
15	Literary and Linguistics Computing	2015	2	1
17	Computers and the Humanities	2000	31	1
17	Computers and the Humanities	2001	23	1
17	Computers and the Humanities	2002	26	1
17	Computers and the Humanities	2003	28	1
17	Computers and the Humanities	2004	25	1
17	Computers and the Humanities	2009	1	1
18	International Journal of Humanities and Arts Computing	2007	13	1
18	International Journal of Humanities and Arts Computing	2008	16	1
18	International Journal of Humanities and Arts Computing	2009	14	1
18	International Journal of Humanities and Arts Computing	2010	11	1
18	International Journal of Humanities and Arts Computing	2011	9	1
18	International Journal of Humanities and Arts Computing	2012	16	1
18	International Journal of Humanities and Arts Computing	2013	29	1
18	International Journal of Humanities and Arts Computing	2014	25	1
18	International Journal of Humanities and Arts Computing	2015	13	1
18	International Journal of Humanities and Arts Computing	2016	12	1
18	International Journal of Humanities and Arts Computing	2017	20	1
18	International Journal of Humanities and Arts Computing	2018	16	1
25	International Journal of Digital Curation	2008	58	1
25	International Journal of Digital Curation	2009	39	1
25	International Journal of Digital Curation	2010	14	1
25	International Journal of Digital Curation	2011	37	1
25	International Journal of Digital Curation	2012	25	1
25	International Journal of Digital Curation	2013	34	1
25	International Journal of Digital Curation	2014	32	1
25	International Journal of Digital Curation	2015	25	1
25	International Journal of Digital Curation	2016	20	1
25	International Journal of Digital Curation	2017	23	1
25	International Journal of Digital Curation	2018	35	1
29	The Programming Historian (eng)	2012	40	1
29	The Programming Historian (eng)	2013	22	1
29	The Programming Historian (eng)	2014	11	1
29	The Programming Historian (eng)	2015	11	1
29	The Programming Historian (eng)	2016	29	1
29	The Programming Historian (eng)	2017	36	1
29	The Programming Historian (eng)	2018	27	1
